enrich;tman;tman;mart;0;0;application;primary;route;;
enrich;tman;tman;mart;0;0;application;regular;route;;656e726963683a746d616e3a6170706c69636174696f6e3a30d41d8cd98f00b204e9800998ecf8427e
flc;tman;tman;msgs;0;0;application;regular;route;;666c633a746d616e3a6170706c69636174696f6e3a30d41d8cd98f00b204e9800998ecf8427e
imp;tman;tman;enrich;0;0;application;primary;route;;
imp;tman;tman;enrich;0;0;application;regular;route;;696d703a746d616e3a6170706c69636174696f6e3a30d41d8cd98f00b204e9800998ecf8427e
mart;tman;tman;flc;0;0;application;primary;route;;
mart;tman;tman;flc;0;0;application;regular;route;;6d6172743a746d616e3a6170706c69636174696f6e3a30d41d8cd98f00b204e9800998ecf8427e
enrich;tman;tman;mart;0;0;client_fl;primary;route;;
msgs;tman;tman;reps;0;0;application;regular;route;;6d7367733a746d616e3a6170706c69636174696f6e3a30d41d8cd98f00b204e9800998ecf8427e
enrich;tman;tman;mart;0;0;client_fl;regular;route;;656e726963683a746d616e3a636c69656e745f666c3a30d41d8cd98f00b204e9800998ecf8427e
imp;tman;tman;enrich;0;0;client_fl;primary;route;;
flc;tman;tman;msgs;0;0;client_fl;regular;route;;6d6172743a746d616e3a636c69656e745f666c3a30d41d8cd98f00b204e9800998ecf8427e
mart;tman;tman;flc;0;0;client_fl;primary;route;;
imp;tman;tman;enrich;0;0;client_fl;regular;route;;696d703a746d616e3a636c69656e745f666c3a30d41d8cd98f00b204e9800998ecf8427e
mart;tman;tman;flc;0;0;client_fl;regular;route;;6d6172743a746d616e3a636c69656e745f666c3a30d41d8cd98f00b204e9800998ecf8427e
enrich;tman;tman;mart;0;0;client_ul;primary;route;;
msgs;tman;tman;reps;0;0;client_fl;regular;route;;6d7367733a746d616e3a636c69656e745f666c3a30d41d8cd98f00b204e9800998ecf8427e
enrich;tman;tman;mart;0;0;client_ul;regular;route;;656e726963683a746d616e3a636c69656e745f756c3a30d41d8cd98f00b204e9800998ecf8427e
imp;tman;tman;enrich;0;0;client_ul;primary;route;;
flc;tman;tman;msgs;0;0;client_ul;regular;route;;666c633a746d616e3a636c69656e745f756c3a30d41d8cd98f00b204e9800998ecf8427e
mart;tman;tman;flc;0;0;client_ul;primary;route;;
imp;tman;tman;enrich;0;0;client_ul;regular;route;;696d703a746d616e3a636c69656e745f756c3a30d41d8cd98f00b204e9800998ecf8427e
mart;tman;tman;flc;0;0;client_ul;regular;route;;6d6172743a746d616e3a636c69656e745f756c3a30d41d8cd98f00b204e9800998ecf8427e
enrich;tman;tman;mart;0;0;collateral;primary;route;;
enrich;tman;tman;mart;0;0;collateral;regular;route;;
flc;tman;tman;msgs;0;0;collateral;regular;route;;
imp;tman;tman;enrich;0;0;collateral;primary;route;;
imp;tman;tman;enrich;0;0;collateral;regular;route;;
mart;tman;tman;flc;0;0;collateral;primary;route;;
mart;tman;tman;flc;0;0;collateral;regular;route;;
enrich;tman;tman;mart;0;0;collateral_insurance;primary;route;;
enrich;tman;tman;mart;0;0;collateral_insurance;regular;route;;
flc;tman;tman;msgs;0;0;collateral_insurance;regular;route;;
imp;tman;tman;enrich;0;0;collateral_insurance;primary;route;;
imp;tman;tman;enrich;0;0;collateral_insurance;regular;route;;
mart;tman;tman;flc;0;0;collateral_insurance;primary;route;;
mart;tman;tman;flc;0;0;collateral_insurance;regular;route;;
enrich;tman;tman;mart;0;0;contract;primary;route;;
msgs;tman;tman;reps;0;0;client_ul;regular;route;;6d7367733a746d616e3a636c69656e745f756c3a30d41d8cd98f00b204e9800998ecf8427e
enrich;tman;tman;mart;0;0;contract;regular;route;;656e726963683a746d616e3a636f6e74726163743a30d41d8cd98f00b204e9800998ecf8427e
imp;tman;tman;enrich;0;0;contract;primary;route;;
flc;tman;tman;msgs;0;0;contract;regular;route;;666c633a746d616e3a636f6e74726163743a30d41d8cd98f00b204e9800998ecf8427e
mart;tman;tman;flc;0;0;contract;primary;route;;
imp;tman;tman;enrich;0;0;contract;regular;route;;696d703a746d616e3a636f6e74726163743a30d41d8cd98f00b204e9800998ecf8427e
enrich;tman;tman;mart;0;0;court;primary;route;;
enrich;tman;tman;mart;0;0;court;regular;route;;
flc;tman;tman;msgs;0;0;court;regular;route;;
imp;tman;tman;enrich;0;0;court;primary;route;;
imp;tman;tman;enrich;0;0;court;regular;route;;
mart;tman;tman;flc;0;0;court;primary;route;;
mart;tman;tman;flc;0;0;court;regular;route;;
enrich;tman;tman;mart;0;0;guarantee;primary;route;;
enrich;tman;tman;mart;0;0;guarantee;regular;route;;
flc;tman;tman;msgs;0;0;guarantee;regular;route;;
imp;tman;tman;enrich;0;0;guarantee;primary;route;;
imp;tman;tman;enrich;0;0;guarantee;regular;route;;
mart;tman;tman;flc;0;0;guarantee;primary;route;;
mart;tman;tman;flc;0;0;guarantee;regular;route;;
enrich;tman;tman;mart;0;0;pledge;primary;route;;
enrich;tman;tman;mart;0;0;pledge;regular;route;;
flc;tman;tman;msgs;0;0;pledge;regular;route;;
imp;tman;tman;enrich;0;0;pledge;primary;route;;
imp;tman;tman;enrich;0;0;pledge;regular;route;;
mart;tman;tman;flc;0;0;pledge;primary;route;;
mart;tman;tman;flc;0;0;pledge;regular;route;;
mart;tman;tman;flc;0;0;contract;regular;route;;6d6172743a746d616e3a636f6e74726163743a30d41d8cd98f00b204e9800998ecf8427e
msgs;tman;tman;reps;0;0;collateral;regular;route;;
msgs;tman;tman;reps;0;0;collateral_insurance;regular;route;;
msgs;tman;tman;reps;0;0;contract;regular;route;;6d7367733a746d616e3a636f6e74726163743a30d41d8cd98f00b204e9800998ecf8427e
msgs;tman;tman;reps;0;0;court;regular;route;;
msgs;tman;tman;reps;0;0;guarantee;regular;route;;
msgs;tman;tman;reps;0;0;pledge;regular;route;;
